,Affinity for Quilts,Country Loft Quilt & Design,Millie P's Quilt Shop,Quilt Cove,Quilter's Haven,Twin Cities Quilting,Country Caboose Quilts,Gone to Pieces Quilt Shop,Gruber's Quilt Shop,The Noble Quilter,Quarry Quilts & Yarns,Quilted Treasures,47 Degrees North Quilt Shop,Hannah Johnson Fabrics,Hingeley Road Quilt Shop,Quilt Corner,Quilted Dog Quilt Shop,Anderson Fabrics Quilt Shop,Oklee Quilting Supply,"Quilter's Jem, LLC",Sadie Rae's Quilt Shop,Up North Quilt Shop,Colorz Quilt Shop,Front Porch Quilt Shop,Hometown Crafts & Fabrics,Mother Originals Quilt Shop,Quilter's Cottage,Dawn's Quilt Shop,DeAnn's Country Village Shoppe,Heather's Book Nook & Sew Much More,Paisley Threads,Quilt Haven on Main  ,Sweetwater Cotton shoppe,Cabby's Corner Quilt & Fabric,Quilter's Dream,Quilting by the Hearth,River City Quilts,Sewing Seeds Quilt Company,Spinning Spools Quilt Shop,Sue's Quilt Shop,The Thimble Box,Crafty Corner Quilt & Sewing Shoppe,Michele's Quilting & Sewing Center,Old Alley Quilt Shop,Prairie Quilting,Stitchin' It Up Quilt Shop,Bluffview Quilt Shop,Calico Hutch,The Humble Heart,Pine Needles Quilt & Sew,Rather Bee Quilting,What's Brewing Quilt Shop
Affinity for Quilts,0.0,1188.9,1928.2,2224.2,2556.6,1130.4,7313.1,6170.1,5428.5,2949.2,5054.1,2638.8,16866.3,9720.1,10716.3,13287.8,8395.5,18919.5,22114.2,21490.5,17009.3,20143.4,9800.8,14224.4,11683.3,10990.2,12388.8,9540.4,7278.7,11314.2,8315.8,6407.7,7308.4,7979.8,5279.3,4429.1,7674.7,9006.7,9007.5,4577.2,8983.8,14376.5,10113.9,12061.8,12176.4,12516.5,9261.5,7698.5,8979.7,6501.2,5880.1,7148.0
Country Loft Quilt & Design,1243.9,0.0,1989.0,2913.3,3245.7,1473.7,6769.5,6235.7,5494.1,3010.0,4188.3,2704.4,16000.5,8854.3,9850.5,12422.0,7529.7,18980.3,22175.0,21556.1,17070.1,19277.6,9861.6,14285.2,11744.1,11051.0,12454.4,9606.0,7706.4,11853.4,8381.4,6752.9,7374.0,8519.0,5968.4,5118.2,8319.0,9651.0,9546.7,5266.3,9523.0,15020.8,10803.0,12750.9,12820.7,13055.7,9961.4,8387.6,9668.8,7190.3,6580.0,7847.9
Millie P's Quilt Shop,1997.9,2056.9,0.0,3052.1,3528.8,1362.5,5614.3,4924.4,4157.7,1250.4,5922.1,1121.1,17734.3,10588.1,11584.3,14155.8,9263.5,17220.7,20415.4,20244.8,15310.5,21011.4,8102.0,12525.6,9984.5,9291.4,11143.1,8294.7,6450.9,10700.3,7070.1,5623.0,6062.7,7365.9,5118.0,4491.2,7141.6,8473.6,8393.6,4415.9,8369.9,13843.4,10578.2,11793.3,11643.3,11902.6,10244.5,8276.1,9557.3,7473.4,6863.1,8131.0
Quilt Cove,2282.0,2950.1,3078.1,0.0,898.0,1902.8,8261.9,6698.1,6088.1,3898.0,6815.3,3298.4,18627.5,11481.3,12477.5,15049.0,10156.7,19606.7,22801.4,22150.1,17696.5,21904.6,10488.0,14911.6,12370.5,11677.4,13048.4,10200.0,6731.0,9953.5,8975.4,5311.4,7968.0,6619.1,3337.5,2487.3,5747.0,7079.0,7216.5,2635.4,7192.8,12448.8,8172.1,10120.0,10248.7,10725.5,8733.0,5756.7,7037.9,5638.8,5351.6,6619.5
Quilter's Haven,2657.0,3325.1,3509.0,892.1,0.0,2313.0,8893.9,7353.9,6743.9,4530.0,7190.3,3954.2,19002.5,11856.3,12852.5,15424.0,10531.7,20262.5,23457.2,22805.9,18352.3,22279.6,11143.8,15567.4,13026.3,12333.2,13704.2,10855.8,7386.8,10609.3,9631.2,5967.2,8623.8,7222.5,3697.0,2846.8,6121.0,7453.0,7590.5,2994.9,7566.8,12822.8,8531.6,10479.5,10622.7,11099.5,7930.7,6116.2,7397.4,4836.5,4549.3,5817.2
Twin Cities Quilting,1150.7,1477.6,1363.4,1816.4,2313.7,0.0,6748.3,5591.5,4849.9,2384.4,5342.8,2060.2,17155.0,10008.8,11005.0,13576.5,8684.2,18354.7,21549.4,20911.9,16444.5,20432.1,9236.0,13659.6,11118.5,10425.4,11810.2,8961.8,6354.9,10616.7,7737.2,5485.9,6729.8,7282.3,4871.5,4021.3,7061.2,8393.2,8310.0,4169.4,8286.3,13763.0,9706.1,11654.0,11562.9,11819.0,9216.7,7290.7,8571.9,6445.6,5835.3,7103.2
Country Caboose Quilts,7386.8,7199.2,5588.8,8327.1,8917.7,6751.4,0.0,6503.2,5148.8,4664.0,4199.8,5183.9,15437.8,8291.6,7675.5,11859.3,6967.0,13475.8,17087.5,19448.2,11565.6,16867.7,4213.2,8780.7,7691.9,5546.5,12588.4,9841.3,8656.3,12851.6,8614.2,8879.2,7606.8,11548.2,10331.7,9704.9,12355.3,12714.6,12575.9,9629.6,12552.2,19057.1,15791.9,17007.0,16857.0,15646.8,15633.4,13403.7,14684.9,12862.3,12252.0,13519.9
Gone to Pieces Quilt Shop,6225.6,6320.3,4893.4,6755.3,7408.0,5548.5,6535.2,0.0,1468.1,4329.4,8205.6,4050.5,20017.8,12871.6,13553.1,16439.3,11547.0,14986.7,18181.4,17584.9,13076.5,21536.8,5868.0,10291.6,7750.5,7057.4,8483.2,5634.8,2153.1,7512.4,3581.6,2376.0,2529.1,5045.0,8134.3,8125.1,8216.4,6211.4,6072.7,7486.4,6049.0,12730.1,11019.5,10680.0,10530.0,9581.7,14415.3,11831.9,10821.5,11644.2,11033.9,12301.8
Gruber's Quilt Shop,5525.1,5619.8,4134.7,6190.0,6842.7,4848.0,5226.3,1494.9,0.0,3431.2,6896.7,3350.0,18708.9,11562.7,12244.2,15130.4,10238.1,13606.3,16801.0,16699.1,11696.1,20156.4,4487.6,8911.2,6370.1,5677.0,7597.4,4749.0,3648.0,7793.6,3556.2,3870.9,2548.8,6539.9,8194.6,7567.8,9711.3,7706.3,7567.6,7492.5,7543.9,14225.0,12514.4,12174.9,12024.9,10588.8,13714.8,11266.6,12316.4,10943.7,10333.4,11601.3
The Noble Quilter,3008.6,3067.6,1210.6,3948.9,4539.5,2373.2,4662.2,4277.8,3389.9,0.0,6382.9,805.7,18195.1,11048.9,11730.4,14616.6,9724.3,16452.9,19647.6,19598.2,14542.7,20624.0,7334.2,11757.8,9216.7,8523.6,10496.5,7648.1,5964.1,10660.9,6423.5,6102.8,5416.1,7984.5,5953.5,5326.7,7977.1,9150.9,9012.2,5251.4,8988.5,14678.9,11413.7,12628.8,12478.8,12521.2,11255.2,9025.5,10306.7,8484.1,7873.8,9141.7
